"count-turtles-in 0 0.2","count-turtles-in 0.2 0.4","count-turtles-in 0.4 0.6","count-turtles-in 0.6 0.8","count-turtles-in 0.8 1.1","count-turtles-in 0 0.2","count-turtles-in 0.2 0.4","count-turtles-in 0.4 0.6","count-turtles-in 0.6 0.8","count-turtles-in 0.8 1.1","count-turtles-in 0 0.2","count-turtles-in 0.2 0.4","count-turtles-in 0.4 0.6","count-turtles-in 0.6 0.8","count-turtles-in 0.8 1.1","count-turtles-in 0 0.2","count-turtles-in 0.2 0.4","count-turtles-in 0.4 0.6","count-turtles-in 0.6 0.8","count-turtles-in 0.8 1.1","count-turtles-in 0 0.2","count-turtles-in 0.2 0.4","count-turtles-in 0.4 0.6","count-turtles-in 0.6 0.8","count-turtles-in 0.8 1.1","count-turtles-in 0 0.2","count-turtles-in 0.2 0.4","count-turtles-in 0.4 0.6","count-turtles-in 0.6 0.8","count-turtles-in 0.8 1.1","count-turtles-in 0 0.2","count-turtles-in 0.2 0.4","count-turtles-in 0.4 0.6","count-turtles-in 0.6 0.8","count-turtles-in 0.8 1.1","count-turtles-in 0 0.2","count-turtles-in 0.2 0.4","count-turtles-in 0.4 0.6","count-turtles-in 0.6 0.8","count-turtles-in 0.8 1.1","count-turtles-in 0 0.2","count-turtles-in 0.2 0.4","count-turtles-in 0.4 0.6","count-turtles-in 0.6 0.8","count-turtles-in 0.8 1.1","count-turtles-in 0 0.2","count-turtles-in 0.2 0.4","count-turtles-in 0.4 0.6","count-turtles-in 0.6 0.8","count-turtles-in 0.8 1.1"
"0","14","86","0","0","0","0","100","0","0","0","19","81","0","0","0","10","90","0","0","0","0","100","0","0","0","0","84","16","0","0","2","98","0","0","0","11","89","0","0","0","0","100","0","0","0","0","92","8","0"
"0","14","86","0","0","0","0","100","0","0","0","20","80","0","0","0","10","90","0","0","0","0","100","0","0","0","0","84","16","0","0","2","98","0","0","0","11","89","0","0","0","0","100","0","0","0","0","93","7","0"
"0","14","86","0","0","0","0","100","0","0","0","20","80","0","0","0","10","90","0","0","0","0","100","0","0","0","0","85","15","0","0","2","98","0","0","0","11","89","0","0","0","0","100","0","0","0","0","93","7","0"
"0","14","86","0","0","0","0","100","0","0","0","20","80","0","0","0","10","90","0","0","0","0","100","0","0","0","0","85","15","0","0","2","98","0","0","0","11","89","0","0","0","0","100","0","0","0","0","93","7","0"
"0","14","86","0","0","0","0","100","0","0","0","20","80","0","0","0","10","90","0","0","0","0","100","0","0","0","0","84","16","0","0","1","99","0","0","0","11","89","0","0","0","0","100","0","0","0","0","94","6","0"
"0","14","86","0","0","0","0","100","0","0","0","19","81","0","0","0","10","90","0","0","0","0","100","0","0","0","0","85","15","0","0","0","100","0","0","0","12","88","0","0","0","0","100","0","0","0","0","95","5","0"
"0","15","85","0","0","0","0","100","0","0","0","20","80","0","0","0","10","90","0","0","0","0","100","0","0","0","0","85","15","0","0","0","100","0","0","0","11","89","0","0","0","0","100","0","0","0","0","95","5","0"
"0","15","85","0","0","0","0","100","0","0","0","20","80","0","0","0","10","90","0","0","0","0","100","0","0","0","0","84","16","0","0","0","100","0","0","0","12","88","0","0","0","0","100","0","0","0","0","95","5","0"
"0","15","85","0","0","0","0","100","0","0","0","20","80","0","0","0","10","90","0","0","0","0","100","0","0","0","0","84","16","0","0","0","100","0","0","0","12","88","0","0","0","0","100","0","0","0","0","95","5","0"
"0","15","85","0","0","0","0","100","0","0","0","20","80","0","0","0","10","90","0","0","0","0","100","0","0","0","0","84","16","0","0","0","100","0","0","0","11","89","0","0","0","0","100","0","0","0","0","96","4","0"
"0","15","85","0","0","0","0","100","0","0","0","20","80","0","0","0","10","90","0","0","0","0","100","0","0","0","0","85","15","0","0","0","100","0","0","0","11","89","0","0","0","0","100","0","0","0","0","97","3","0"
"0","14","86","0","0","0","0","100","0","0","0","20","80","0","0","0","10","90","0","0","0","0","100","0","0","0","0","85","15","0","0","0","100","0","0","0","10","90","0","0","0","0","100","0","0","0","0","97","3","0"
"0","14","86","0","0","0","0","100","0","0","0","20","80","0","0","0","10","90","0","0","0","0","100","0","0","0","0","84","16","0","0","0","100","0","0","0","10","90","0","0","0","0","100","0","0","0","0","97","3","0"
"0","13","87","0","0","0","0","100","0","0","0","20","80","0","0","0","10","90","0","0","0","0","100","0","0","0","0","84","16","0","0","0","100","0","0","0","10","90","0","0","0","0","100","0","0","0","0","97","3","0"
"0","13","87","0","0","0","0","100","0","0","0","20","80","0","0","0","10","90","0","0","0","0","100","0","0","0","0","85","15","0","0","0","100","0","0","0","10","90","0","0","0","0","100","0","0","0","0","97","3","0"
"0","14","86","0","0","0","0","100","0","0","0","19","81","0","0","0","10","90","0","0","0","0","100","0","0","0","0","85","15","0","0","0","100","0","0","0","10","90","0","0","0","0","100","0","0","0","0","98","2","0"
